178,Martinique,"375,946"
179,Belize,"375,775"
180,Iceland,"334,395"
181,Barbados,"286,229"
182,Vanuatu,"285,499"
183,New Caledonia,"277,159"
184,French Polynesia,"276,108"
185,French Guiana,"275,189"
186,Mayotte,"252,962"
187,Sao Tome and Principe,"207,086"
188,Samoa,"195,358"
189,Saint Lucia,"180,955"
190,Channel Islands,"168,666"
191,Guam,"164,281"
192,Curaçao,"161,986"
193,Kiribati,"114,153"
194,Micronesia (Fed. States of),"111,461"
195,Grenada,"110,874"
196,Saint Vincent and the Grenadines,"109,826"
197,Aruba,"105,361"
198,United States Virgin Islands,"104,745"
199,Tonga,"102,002"
200,Seychelles,"96,418"
201,Antigua and Barbuda,"95,425"
